instance_id,condition,size,depth,loss,p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,compile_seconds,optimize_seconds
a_4_positive_01,feasibility,4,4,-0.9999999998758806,0.9999999999379403,0.22057679722548987,0.2205767972391788,0.6105619766972754,1.3578564793511836e-11,0.75,1.5925658936612308,1.3342291368171573
a_4_positive_01,feasibility,4,5,-0.9999999999753848,0.9999999999876924,0.3223742702626692,0.32237427026663684,0.3580947498929116,9.12910434966421e-13,0.75,1.9699936173856258,1.6039902996271849
a_4_positive_01,feasibility,4,6,-0.9999999998962226,0.9999999999481113,0.29191952644851793,0.29191952646366526,0.05862894985322389,6.550105928880985e-12,0.75,2.5469535728916526,1.8568113050423563
a_4_positive_01,feasibility,4,7,-0.9999999997602882,0.9999999998801441,0.21107053402386772,0.21107053404916576,0.5343322125946085,1.0766355186144162e-11,0.75,3.0560171948745847,2.1613776879385114
a_4_positive_01,feasibility,4,8,-0.9999999999467073,0.9999999999733536,0.3025019847083221,0.3025019847163827,0.30541938670999064,1.2151631948692277e-12,0.75,3.471914156805724,2.4563739709556103
a_4_positive_01,fidelity,4,1,0.14323725998705394,0.8854132434226989,0.8567627400129461,0.9676416592787793,0.9506888844420799,0.1935128798093528,1.0,0.0002539348788559437,0.3853969140909612
a_4_positive_01,fidelity,4,2,6.084306169995557e-09,0.9999999964487363,0.9999999939156938,0.9999999974669576,0.9999999966911984,0.24996905848584086,1.0,0.000451565720140934,0.6743153198622167
a_4_positive_01,lambda_0.5,4,1,0.12037231465359621,0.9280417104945212,0.8381812410737539,0.9031719497037651,0.8487395287745254,0.14848069966417435,1.0,0.0004574041813611984,0.3873296454548836
a_4_positive_01,lambda_0.5,4,2,2.5852035459572598e-06,0.9999989832999261,0.9999958462961714,0.9999968629930559,0.9999985206575672,0.24963906760566382,1.0,0.000723609235137701,0.6899526929482818
a_4_positive_01,lambda_1,4,1,0.1467025306328371,0.8801719875450627,0.8565177894661047,0.9731254818221002,0.959201784038491,0.1988214322068329,1.0,0.0005997819826006889,0.39301333483308554
a_4_positive_01,lambda_1,4,2,1.7204071312004743e-07,0.9999999051440479,0.9999998279592942,0.999999922815239,0.9999999160973881,0.24985093197792285,1.0,0.0006838403642177582,0.6848896108567715
a_4_positive_01,lambda_2,4,1,0.15958266599187765,0.8525302929512105,0.847366960733082,0.9939435205284559,0.9910229632042135,0.22650849585616636,1.0,0.000417094212025404,0.3924557785503566
a_4_positive_01,lambda_2,4,2,2.9613776105108514e-05,0.9999821777227376,0.999976282078392,0.9999941042505787,0.9999966739770955,0.2486859633185064,1.0,0.0005587027408182621,0.6982602910138667
a_4_positive_02,feasibility,4,1,-0.9999999999682074,0.9999999999841036,0.44642630133648165,0.4464263013435782,0.5697497496144517,2.0548986406494834e-12,0.5,0.3494953620247543,0.27231366327032447
a_4_positive_02,feasibility,4,2,-0.9999999999971563,0.9999999999985781,0.24209441891388114,0.24209441891422537,0.5680790315966884,6.275195039326878e-13,0.75,0.551146540325135,0.38334758346900344
a_4_positive_02,feasibility,4,3,-0.9999999999958538,0.999999999997927,0.33754022168288295,0.33754022168358266,0.387712885158455,1.5049432184859386e-12,0.75,0.8729053903371096,0.5290885996073484
a_4_positive_02,feasibility,4,4,-0.9999999999497939,0.999999999974897,0.48253685068209495,0.4825368506942081,0.7081825020237427,0.004212343237290172,1.0,0.9789970330893993,0.6511522503569722
a_4_positive_02,feasibility,4,5,-0.9999999999866325,0.9999999999933162,0.35859078475243505,0.3585907847548318,0.6979147934127771,0.0006200977708848165,1.0,1.2055827211588621,0.8394654006697237
a_4_positive_02,feasibility,4,6,-0.9999999999735478,0.9999999999867739,0.20555539752515264,0.20555539752787133,0.7175176512708481,0.004800235148763374,1.0,1.4156805551610887,0.9998066364787519
a_4_positive_02,feasibility,4,7,-0.9999999999946914,0.9999999999973456,0.3186345230098398,0.31863452301068557,0.6036836030677785,6.742139087452646e-05,0.75,1.8219746882095933,1.1537061561830342
a_4_positive_02,feasibility,4,8,-0.9999999999838443,0.999999999991922,0.2643021671145141,0.2643021671166491,0.4468105527657647,0.0007096588651355064,1.0,1.870586201082915,1.3144386629574
a_4_positive_02,fidelity,4,1,0.1432372543833932,0.8854122250116679,0.8567627456166068,0.9676427785998961,0.9671270839577505,0.09676143180441296,1.0,0.0003290618769824505,0.27785407146438956
