method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PenaltyQAOA,cardinality+cardinality,10,2,0.9857454265802875,,0.9857454265802875,0.9857454265802875,0.9857454265802875,0.7788,,0.7788,0.7788,0.7788,0.249,,0.249,0.249,0.249
PenaltyQAOA,cardinality+flow,6,1,0.9405175195960498,,0.9405175195960498,0.9405175195960498,0.9405175195960498,0.6049,,0.6049,0.6049,0.6049,0.3152,,0.3152,0.3152,0.3152
PenaltyQAOA,cardinality+flow,6,2,0.996991611849769,,0.996991611849769,0.996991611849769,0.996991611849769,0.9796,,0.9796,0.9796,0.9796,0.9783,,0.9783,0.9783,0.9783
PenaltyQAOA,cardinality+flow,7,1,0.904087465894029,,0.904087465894029,0.904087465894029,0.904087465894029,0.3632,,0.3632,0.3632,0.3632,0.136,,0.136,0.136,0.136
PenaltyQAOA,cardinality+flow,7,2,0.9815370929546294,,0.9815370929546294,0.9815370929546294,0.9815370929546294,0.8748,,0.8748,0.8748,0.8748,0.4212,,0.4212,0.4212,0.4212
PenaltyQAOA,cardinality+flow,8,1,0.9515210718948742,,0.9515210718948742,0.9515210718948742,0.9515210718948742,0.5847,,0.5847,0.5847,0.5847,0.0001,,0.0001,0.0001,0.0001
PenaltyQAOA,cardinality+flow,8,2,0.979329733301708,,0.979329733301708,0.979329733301708,0.979329733301708,0.879,,0.879,0.879,0.879,0.0008,,0.0008,0.0008,0.0008
PenaltyQAOA,cardinality+flow,8,3,0.981470250709955,,0.981470250709955,0.981470250709955,0.981470250709955,0.7864,,0.7864,0.7864,0.7864,0.357,,0.357,0.357,0.357
PenaltyQAOA,cardinality+independent_set,6,1,0.9208353940400821,,0.9208353940400821,0.9208353940400821,0.9208353940400821,0.9232,,0.9232,0.9232,0.9232,0.0614,,0.0614,0.0614,0.0614
PenaltyQAOA,cardinality+independent_set,7,1,0.9630257369819646,,0.9630257369819646,0.9630257369819646,0.9630257369819646,0.8164,,0.8164,0.8164,0.8164,0.0914,,0.0914,0.0914,0.0914
PenaltyQAOA,cardinality+knapsack,4,1,0.9555885242547171,,0.9555885242547171,0.9555885242547171,0.9555885242547171,0.7502,,0.7502,0.7502,0.7502,0.7419,,0.7419,0.7419,0.7419
PenaltyQAOA,cardinality+knapsack,5,1,0.9247112858434198,,0.9247112858434198,0.9247112858434198,0.9247112858434198,0.7549,,0.7549,0.7549,0.7549,0.1144,,0.1144,0.1144,0.1144
PenaltyQAOA,cardinality+knapsack,5,2,0.9890913792165468,,0.9890913792165468,0.9890913792165468,0.9890913792165468,0.8267,,0.8267,0.8267,0.8267,0.8021,,0.8021,0.8021,0.8021
PenaltyQAOA,cardinality+knapsack,5,3,0.9483340454579519,,0.9483340454579519,0.9483340454579519,0.9483340454579519,0.5275,,0.5275,0.5275,0.5275,0.1869,,0.1869,0.1869,0.1869
PenaltyQAOA,cardinality+knapsack,5,4,0.8941298786357713,,0.8941298786357713,0.8941298786357713,0.8941298786357713,0.3325,,0.3325,0.3325,0.3325,0.1298,,0.1298,0.1298,0.1298
PenaltyQAOA,cardinality+knapsack,5,5,0.8942932596027136,,0.8942932596027136,0.8942932596027136,0.8942932596027136,0.3827,,0.3827,0.3827,0.3827,0.1386,,0.1386,0.1386,0.1386
PenaltyQAOA,cardinality+knapsack,6,1,0.9385168369210843,,0.9385168369210843,0.9385168369210843,0.9385168369210843,0.3863,,0.3863,0.3863,0.3863,0.0034,,0.0034,0.0034,0.0034
PenaltyQAOA,cardinality+knapsack,6,2,0.9843060081085141,,0.9843060081085141,0.9843060081085141,0.9843060081085141,0.6922,,0.6922,0.6922,0.6922,0.6897,,0.6897,0.6897,0.6897
PenaltyQAOA,cardinality+knapsack,6,3,0.9917121794686944,,0.9917121794686944,0.9917121794686944,0.9917121794686944,0.8857,,0.8857,0.8857,0.8857,0.8714,,0.8714,0.8714,0.8714
