identity,instance_id,condition,rule,delta,selectable,n_x,regime,n_slack,n_total,depth,p_optimal,p_feasible,exact_p_optimal,exact_p_feasible,compile_seconds,optimize_seconds,process_peak_rss_mb
0c0e3368dce180c75b4bf4ac99e2549739a32f7b9dd6289b4c3c5bbe16bc35ab,b_6_overlapping_02,range,range,51.0,True,6,overlapping,2,8,5,0.1026,0.5326,0.10593021214213215,0.5374651592304931,24.258597692474723,3.178354953881353,1220.125
d88f3659e86f2ab9c878df69568ab7ec69285e639af564de691d31edf69b7b21,b_6_overlapping_02,verma_lewis,verma_lewis,14.0,True,6,overlapping,2,8,5,0.1109,0.7495,0.10976467916625912,0.7410037193375254,0.01044515473768115,3.1403134097345173,1221.0
8ad00f861c2799f421e214efdb6245bcfa1b1e70baaadea811dd4f44b88c9037,b_7_disjoint_01,feasible,feasible,28.0,True,7,disjoint,4,11,5,0.0059,0.14730000000000001,0.007831132668346669,0.15102692823521183,0.06416567554697394,24.918496226891875,2105.3359375
dbeca4936ca35ff4c2160f00af74015fe28ea398ab4aa12adebc29d6a449449c,b_7_disjoint_01,local,local,19.0,True,7,disjoint,4,11,5,0.012,0.1432,0.012189476705595467,0.14810456301918976,0.06426005391404033,24.720896968152374,2105.5546875
efe951c9666d97a2cbec0813d88e9d60d6b26d0e2ef0694be790e3054355bc9f,b_7_disjoint_01,maximum,maximum,6.0,True,7,disjoint,4,11,5,0.0041,0.1496,0.00401426138616806,0.15297265406687216,0.06360240885987878,24.906150879804045,2105.5546875
1a8c9cbcf776a64babd83374ff25045c0bfe006edccf8d4044d906fd8145a317,b_7_disjoint_01,range,range,68.0,True,7,disjoint,4,11,5,0.0062,0.1535,0.005662618324294153,0.15396035996864862,57.649767426773906,24.759165921714157,2098.640625
866e7ea264e323b8fdea8ec75b1690edf0cbfd2727ae812995a6f5bafe3981c1,b_7_disjoint_01,verma_lewis,verma_lewis,15.0,True,7,disjoint,4,11,5,0.005,0.1504,0.004960701241864676,0.15345061152136844,0.06485758069902658,24.9084000447765,2105.5546875
91bc17c04cff0c2641be0c81ea5cf62c939560d0f7794c8cac877b3a8cb3c567,b_7_disjoint_02,feasible,feasible,44.0,True,7,disjoint,4,11,5,0.004,0.22479999999999997,0.005245841939878831,0.22724196273549932,0.05083888303488493,19.344902229961008,1734.546875
5640779ab185ae980a5203e56f14152153b81c3c299f10bbc47178aac0014c0d,b_7_disjoint_02,local,local,27.0,True,7,disjoint,4,11,5,0.0089,0.2757,0.00926254329612654,0.27366251462317887,0.04986800905317068,19.889024595264345,1734.546875
e0bdbe3c0c06ffd03f0448caf1cfc00dc0c6c3f671e146c5e1ecdffebdb5039e,b_7_disjoint_02,maximum,maximum,6.0,True,7,disjoint,4,11,5,0.0055,0.2649,0.006138428137918993,0.2668633134079777,0.052407306618988514,20.05608151620254,1734.546875
ce93ee2c821238e7bde686e3d85e84b004da35e64d08904fe9b87665050455a6,b_7_disjoint_02,range,range,92.0,True,7,disjoint,4,11,5,0.006,0.2302,0.008170629584699707,0.2351730209838749,42.22708746464923,19.24382362375036,1721.9453125
d2bb0cee99b28b2c4bdbd6f2a9184431f98f08dab510036cb2bc9050f714ee27,b_7_disjoint_02,verma_lewis,verma_lewis,17.0,True,7,disjoint,4,11,5,0.0055,0.30569999999999997,0.005578430723925558,0.3025871230634151,0.05053634149953723,19.336677643936127,1734.546875
9ff06ab24a214947dc6bb1d6af769bfac86baaa9faeab85ff71822309c765f2e,b_7_overlapping_01,feasible,feasible,49.0,True,7,overlapping,0,7,5,0.0112,0.323,0.010460626184053927,0.32778067916837195,0.007872359361499548,2.380981988273561,1154.0625
3b0ca2c13cc1273ec28b31f7276cdee607b3269139fe0373bdc2b4006a797c14,b_7_overlapping_01,local,local,25.0,True,7,overlapping,0,7,5,0.0304,0.2867,0.02843125215504684,0.2884792172908112,0.008014639373868704,2.4158189394511282,1154.0625
d6db8da7844e4e65ecfc4017557896e6cf5791fb3bdd17741be09bf2eb8b6131,b_7_overlapping_01,maximum,maximum,6.0,True,7,overlapping,0,7,5,0.0417,0.31980000000000003,0.03761956905292195,0.3118029730252473,0.00786256417632103,2.384585151914507,1154.0625
b81b0e2386eb9af94cbfa2b6f89d69bf4d1177ba0b6468bdb27220906288a103,b_7_overlapping_01,range,range,79.0,True,7,overlapping,0,7,5,0.0392,0.35740000000000005,0.039973729246918874,0.36373048457913254,22.500667206011713,2.3121326467953622,1154.0625
e30ddf753def948a78857f5d613cca3d604ebd4a5130dbb51777568d80e75bfe,b_7_overlapping_01,verma_lewis,verma_lewis,16.0,True,7,overlapping,0,7,5,0.008,0.33299999999999996,0.008386205930574363,0.3390651143919192,0.008198403287678957,2.447932592127472,1154.0625
f6378d1c43f9e96bb83ecd33c6d19f6229fd46d05e65e46d4a51c81f7f8177a5,b_7_overlapping_02,feasible,feasible,35.0,True,7,overlapping,12,19,5,0.019700000000000002,0.44020000000000004,0.020768567970414167,0.44231857226977334,21.698179913684726,7828.000163817778,15172.33984375
2006bec292559d36c306a4899013856bb1cb31b5bba9fc16a78fbf9b5b42b2db,b_7_overlapping_02,local,local,24.0,True,7,overlapping,12,19,5,0.0171,0.44630000000000003,0.014447326077216896,0.44063173168366343,23.83130531432107,8481.505442014895,15174.3984375
d9bf23156483d9364f154b49b48ca56478bac372ab31514bf0f5fb7a7bbdef66,b_7_overlapping_02,maximum,maximum,6.0,True,7,overlapping,12,19,5,0.014700000000000001,0.4356,0.014328285976158744,0.4411089822944601,23.4888022467494,8424.917408892885,15174.3984375
846aa9dc529ecb8c70cdd0c644c74bee6bcbe4093bb34aa5ca41558ea61249fc,b_7_overlapping_02,range,range,79.0,True,7,overlapping,12,19,5,0.0166,0.4393,0.015869036017616477,0.4393458148200244,599.4456837913021,8616.268417149782,14666.578125
0c7e1880a796423fb10b310fc03aa08b481ab0da0710564d1c296d48627998a4,b_7_overlapping_02,verma_lewis,verma_lewis,19.0,True,7,overlapping,12,19,5,0.015899999999999997,0.4447,0.01630873868668495,0.4431144775219517,22.650666922330856,8377.92599748401,15174.3984375
8ba8e03dfb91d502236e31394ddb4394182b97480600166133b9a0a76a25ed14,b_8_disjoint_01,feasible,feasible,57.0,True,8,disjoint,2,10,5,0.0055,0.5524999999999999,0.004763882834092821,0.5566488930606838,0.031630379147827625,12.341760165058076,1700.7265625
71720e1af080402cb2d676ef469d6cf9c13c88526d6e6d3938a8eb513953cea5,b_8_disjoint_01,local,local,26.0,True,8,disjoint,2,10,5,0.0015,0.3427,0.001476101364743648,0.34065975850442787,0.03079807385802269,12.339636828750372,1703.1328125
93850d43063d19b14508bdb571f871c1a7a3a1c0c3212a524d90a89d6fd96c28,b_8_disjoint_01,maximum,maximum,6.0,True,8,disjoint,2,10,5,0.0074,0.35469999999999996,0.008961477878943344,0.3646890449433511,0.031866596546024084,12.346190279815346,1703.1328125
b85c086d3c04c58ce7b2b1c632cd50056fd35de2318031ee42ba62e909e6612d,b_8_disjoint_01,range,range,83.0,True,8,disjoint,2,10,5,0.0017,0.32260000000000005,0.0014843767135667074,0.3258575560244952,48.273459397722036,12.216694362927228,1696.7890625
046da9b78bd3131ebfb2545a4280a0763bb0dcf9c1113fe7ca605ba7a221df7c,b_8_disjoint_01,verma_lewis,verma_lewis,20.0,True,8,disjoint,2,10,5,0.0271,0.8989999999999999,0.026005225547232818,0.9042076562005725,0.03091729572042823,12.340846750885248,1700.7265625
d81e424032a34436a902ab842ad54852a44fd2d3a262bc55e9ec8cef20af167f,b_8_disjoint_02,feasible,feasible,44.0,True,8,disjoint,3,11,5,0.0079,0.37850000000000006,0.008357191470659232,0.3851416687786706,0.055686652194708586,22.226911992765963,1884.44140625
951ed1f27eb8fd41855c38873ecf5aa6d7e5bf5e6effdd97889c20d59cab42d7,b_8_disjoint_02,local,local,23.0,True,8,disjoint,3,11,5,0.027700000000000002,0.5178,0.029341225104401524,0.5138728006544053,0.0576670584268868,22.990717001259327,1884.44140625
49b9fbb4e397f459c32ff954521fc0e79d56bb90a1d39981716df7886ebd9f52,b_8_disjoint_02,maximum,maximum,6.0,True,8,disjoint,3,11,5,0.012299999999999998,0.43910000000000005,0.010935050112369962,0.43935663503346223,0.05783193511888385,22.934858232736588,1884.44140625
df3ab63b991e7c3dc309b0c20178c60654fd127f40374a3030b43f5095642f1b,b_8_disjoint_02,range,range,75.0,True,8,disjoint,3,11,5,0.0142,0.362,0.014466902877703833,0.3618242573824627,52.03963550226763,22.043977099936455,1880.7890625
dcfcf4ff27052947764c67eb409a1bd239040e9f54b0d608f01e86771be373fa,b_8_disjoint_02,verma_lewis,verma_lewis,17.0,True,8,disjoint,3,11,5,0.0165,0.40559999999999996,0.017417294670895055,0.40797069032693384,0.057668964844197035,22.955626813229173,1884.44140625
b09b9e3b7c98e3a63f987165f8b399ed08e78690d708e3930cb3b9dc46a29c82,b_8_overlapping_01,feasible,feasible,72.0,True,8,overlapping,8,16,5,0.0044,0.3145,0.003954529333558244,0.3165214439731256,2.828405322507024,985.871591411531,6043.66796875
e0eb2b842d2266d3d5b5efc80d0dff00f2f57d203625f8f0bed365286a954edf,b_8_overlapping_01,local,local,28.0,True,8,overlapping,8,16,5,0.0031,0.32330000000000003,0.003754320491126931,0.31080422728619683,2.8379924232140183,984.9170130765997,6043.9296875
eb033a3b0b3e09e1dc3b0de05c760f9f70283ac54bd6bec499e4f1a931853e58,b_8_overlapping_01,maximum,maximum,6.0,True,8,overlapping,8,16,5,0.0037,0.3151,0.004006988227499069,0.3139019495179688,2.8460515118204057,985.1832054993138,6043.9296875
ab0063572af9977adf0cc39a6b32112aa6956c2f9928c9bcba0878a9ca99b36b,b_8_overlapping_01,range,range,100.0,True,8,overlapping,8,16,5,0.0035,0.31700000000000006,0.0034906340867691316,0.31226130680357844,399.06116215512156,982.3499761712737,5689.66015625
8388c7304b6642717bb3d77def9b73517afce85dbf12df8e6fca9f01e7d99a5c,b_8_overlapping_01,verma_lewis,verma_lewis,23.0,True,8,overlapping,8,16,5,0.0039,0.311,0.003930056058083819,0.31274606929347953,2.788393438793719,973.830039636232,6043.9296875
c58fb933103238839832a43acdd767f558f2b90aa4f5ca02a88e2909a49ada4c,b_8_overlapping_02,feasible,feasible,70.0,True,8,overlapping,4,12,5,0.0018,0.2021,0.003085950440361189,0.20280226181084618,0.11058642994612455,43.20000933064148,2214.0703125
be035161da0f42f3e137087677968b835bffde2be5c12a717a6807b07d103727,b_8_overlapping_02,local,local,31.0,True,8,overlapping,4,12,5,0.0027,0.22899999999999998,0.0023107923297728387,0.23299245158578585,0.11034873453900218,42.658884909469634,2230.73828125
7f5f7fab31788c1687dbd01a5bd55c1f3e058d3789222c457264eecb4d2b0017,b_8_overlapping_02,maximum,maximum,6.0,True,8,overlapping,4,12,5,0.0032,0.2108,0.0026999368001257426,0.21718281378185306,0.11040076473727822,42.42129408568144,2230.73828125
ab70d0ad8e44751fd26784c1677db747f82ad24dd6da3a4d573e1f23a1e8e0af,b_8_overlapping_02,range,range,104.0,True,8,overlapping,4,12,5,0.0052,0.22599999999999998,0.004807785580019806,0.23016854526627617,72.48009071825072,46.15303095523268,2184.5859375
de8366f12b4b36cde68bb5ccac097052b5cb1e6d8806c86fb972c3c510d7bcce,b_8_overlapping_02,verma_lewis,verma_lewis,27.0,True,8,overlapping,4,12,5,0.002,0.2274,0.0022051565294268476,0.22369604742219987,0.10877027502283454,42.57645644294098,2214.078125
